"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LGALS3BP,0,1.9182868108085,0.571,0.145,0
S100A13,0,2.00390535857235,0.531,0.122,0
CD59,0,1.2503803168281,0.655,0.248,0
CD9,0,1.45205254921696,0.616,0.209,0
ALDH2,0,1.91650837392258,0.585,0.179,0
CD81,0,1.40159430472832,0.62,0.222,0
CYB5A,0,1.45890703423277,0.593,0.198,0
RAB13,0,1.78932923230887,0.528,0.134,0
PLD3,0,1.67393212307337,0.559,0.169,0
GRN,0,1.46882261853447,0.672,0.284,0
CTSH,0,1.23880020005062,0.651,0.264,0
CTSZ,0,1.46686978240357,0.631,0.247,0
BRI3,0,1.20716212815082,0.669,0.286,0
CST3,0,1.08696577247826,0.754,0.371,0
SERPINA1,0,1.55060089129276,0.589,0.211,0
FCGRT,0,1.46532271761389,0.61,0.233,0
COMT,0,1.23016531484167,0.615,0.24,0
PTMS,0,1.10464788831128,0.61,0.238,0
ATOX1,0,1.14132586486113,0.608,0.237,0
CD151,0,1.31393919168708,0.549,0.18,0
FKBP2,0,0.959809018379286,0.654,0.292,0
NENF,0,0.92146889365355,0.632,0.272,0
CXCL16,0,1.69805384401156,0.513,0.157,0
ASAH1,0,1.00498652559917,0.661,0.306,0
IFI6,0,1.16539771870598,0.618,0.268,0
NPC2,0,0.9519348843512,0.767,0.418,0
FBP1,0,1.77732970158506,0.512,0.165,0
TXNDC17,0,0.814744158467445,0.624,0.277,0
AKR1A1,0,1.01097839779729,0.587,0.244,0
CTSL,0,1.64319470656416,0.505,0.163,0
MGST3,0,0.998045041883934,0.697,0.357,0
CREG1,0,1.40601995496859,0.501,0.162,0
SPINT2,0,1.10490734289686,0.546,0.208,0
LAMTOR2,0,0.791843302361103,0.624,0.288,0
APLP2,0,0.873329967312441,0.654,0.318,0
HSBP1,0,0.711801917658119,0.658,0.322,0
LAMP2,0,1.2058480726247,0.524,0.188,0
S100A9,0,1.05570299619552,0.542,0.207,0
APOC1,0,1.92578771106661,0.556,0.221,0
MYDGF,0,0.828699557356849,0.641,0.308,0
BLVRB,0,1.13349608563832,0.528,0.195,0
APOE,0,1.81675229686691,0.539,0.207,0
GRINA,0,1.22783320402664,0.513,0.183,0
ATP6AP1,0,1.10094483641661,0.52,0.19,0
LTA4H,0,1.29530450664452,0.551,0.222,0
SYNGR2,0,0.855682891554176,0.576,0.247,0
CTSB,0,0.986815267167356,0.683,0.355,0
C1QB,0,1.85211961481549,0.521,0.194,0
NDUFC1,0,0.740074744532281,0.58,0.253,0
TMEM14C,0,0.718703700905249,0.599,0.273,0
PCBD1,0,0.920248054454215,0.53,0.205,0
MRPL14,0,0.827793302644867,0.546,0.222,0
VKORC1,0,0.824469838101327,0.56,0.236,0
AP2S1,0,0.831927926161157,0.655,0.333,0
SCPEP1,0,1.08262988073843,0.507,0.188,0
RRBP1,0,0.963247024576035,0.531,0.214,0
PPT1,0,0.9393440772969,0.551,0.235,0
LRPAP1,0,0.883049574125664,0.602,0.287,0
RHOB,0,0.863501302239986,0.572,0.258,0
LGALS3,0,1.01868484718879,0.716,0.402,0
C1QA,0,1.72384511900774,0.534,0.221,0
TIMM8B,0,0.7036167079709,0.553,0.24,0
CD48,0,-1.40215600678219,0.3,0.613,0
HLA-DMA,0,0.985211594180382,0.626,0.316,0
SPG21,0,0.874695257337011,0.513,0.205,0
HEXB,0,1.12548339780874,0.534,0.227,0
LYZ,0,1.17177507838867,0.578,0.271,0
MRPS15,0,0.699289122761001,0.532,0.226,0
GTF2H5,0,0.784603112709089,0.509,0.204,0
CAMTA1,0,0.704609904833902,0.523,0.22,0
PRDX3,0,0.802739584145464,0.511,0.21,0
CYSTM1,0,0.755798294973187,0.528,0.228,0
PSAP,0,0.785154859098984,0.797,0.5,0
CD2,0,-1.41731192948103,0.217,0.513,0
SDF2L1,0,0.799609212068833,0.527,0.233,0
SERPINB6,0,0.809421648885292,0.5,0.207,0
HLA-DRB5,0,1.30284423417185,0.519,0.226,0
HLA-DMB,0,1.09026004617259,0.5,0.207,0
ANXA2,0,0.762632869614595,0.778,0.489,0
SEC11C,0,0.754222161126818,0.568,0.279,0
CNIH4,0,0.69753666522318,0.508,0.221,0
CTSA,0,0.719853760532491,0.544,0.257,0
ANXA5,0,0.700757532621342,0.718,0.431,0
GSTO1,0,0.77351322407334,0.652,0.369,0
PYCARD,0,0.774134154569188,0.583,0.304,0
CCL5,0,-1.79149878126019,0.256,0.533,0
CTSD,0,0.896014415434022,0.781,0.505,0
CAPG,0,0.936392088044441,0.581,0.305,0
CD63,0,0.747750231764162,0.844,0.572,0
CSTB,0,0.815546177971162,0.801,0.534,0
GLUL,0,0.74805961897487,0.656,0.394,0
GLRX,0,0.78910304892274,0.587,0.328,0
CORO1A,0,-1.11223720545439,0.395,0.651,0
