"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
LGALS3BP,0,-2.0931446726127,0.189,0.884,0,Other,LGALS3BP
RAB13,0,-1.92809801632478,0.172,0.84,0,Other,RAB13
CD9,0,-1.68744770391544,0.252,0.908,0,Other,CD9
S100A13,0,-2.01345069957883,0.166,0.821,0,Other,S100A13
ALDH2,0,-1.96818784334234,0.222,0.876,0,Other,ALDH2
CYB5A,0,-1.69997327711606,0.24,0.873,0,Other,CYB5A
SERPINA1,0,-1.69893796449091,0.25,0.868,0,Other,SERPINA1
CD151,0,-1.45487660349382,0.217,0.833,0,Other,CD151
CD81,0,-1.385597008676,0.267,0.881,0,Other,CD81
SPINT2,0,-1.46331924089577,0.237,0.848,0,Other,SPINT2
BRI3,0,-1.28867831884718,0.327,0.932,0,Other,BRI3
PCBD1,0,-1.31048370641239,0.232,0.837,0,Other,PCBD1
ATP1B1,0,-1.88956779491878,0.189,0.793,0,Other,ATP1B1
CXCL16,0,-1.82509154383715,0.192,0.794,0,Other,CXCL16
MGST1,0,-2.24769080072764,0.136,0.736,0,Other,MGST1
FCGRT,0,-1.57198588729553,0.273,0.871,0,Other,FCGRT
COMT,0,-1.34897815198238,0.28,0.878,0,Other,COMT
PLD3,0,-1.59738258221235,0.213,0.81,0,Other,PLD3
TXNDC17,0,-1.19635721800125,0.31,0.903,0,Other,TXNDC17
RBM47,0,-1.94438068843695,0.131,0.723,0,Other,RBM47
CREG1,0,-1.53866085958692,0.193,0.784,0,Other,CREG1
NENF,0,-1.14253523488481,0.309,0.894,0,Other,NENF
ATOX1,0,-1.14789597484763,0.277,0.86,0,Other,ATOX1
CD59,0,-1.19834287085002,0.298,0.879,0,Other,CD59
PGD,0,-1.61220916015147,0.169,0.749,0,Other,PGD
PTMS,0,-1.17443372526122,0.279,0.858,0,Other,PTMS
LAMTOR2,0,-1.02511679030054,0.32,0.898,0,Other,LAMTOR2
MRPL14,0,-1.1026928218563,0.251,0.825,0,Other,MRPL14
YBX3,0,-1.02613859938591,0.268,0.842,0,Other,YBX3
PRDX4,0,-1.38790670204762,0.186,0.759,0,Other,PRDX4
HSBP1,0,-1.00503744486855,0.354,0.925,0,Other,HSBP1
AGPAT2,0,-1.41483956438095,0.188,0.759,0,Other,AGPAT2
BLVRB,0,-1.25779534602458,0.227,0.796,0,Other,BLVRB
FKBP2,0,-0.950080218743458,0.332,0.897,0,Other,FKBP2
SYNGR2,0,-0.957862279399358,0.278,0.843,0,Other,SYNGR2
CHMP4B,0,-1.02355157602883,0.255,0.819,0,Other,CHMP4B
NDUFC1,0,-0.983604952472264,0.284,0.846,0,Other,NDUFC1
GRN,0,-1.46468530889744,0.331,0.893,0,Other,GRN
LTA4H,0,-1.48741652692393,0.254,0.816,0,Other,LTA4H
APLP2,0,-1.02913209553558,0.352,0.913,0,Other,APLP2
GSN,0,-1.5194628233118,0.192,0.753,0,Other,GSN
IFI27,0,-2.07620682889047,0.168,0.729,0,Other,IFI27
CTSZ,0,-1.5528273568983,0.293,0.854,0,Other,CTSZ
CTNNA1,0,-1.47532253249975,0.174,0.731,0,Other,CTNNA1
ASAH1,0,-1.07840856996035,0.345,0.901,0,Other,ASAH1
GRINA,0,-1.38055240517075,0.216,0.772,0,Other,GRINA
TIMM8B,0,-0.982187682902337,0.268,0.824,0,Other,TIMM8B
IGFBP2,0,-2.50290809523872,0.122,0.677,0,Other,IGFBP2
PSMB5,0,-1.0744418803828,0.241,0.795,0,Other,PSMB5
CLDN7,0,-2.50632104723674,0.089,0.643,0,Other,CLDN7
RAB31,0,-1.39873288057193,0.2,0.754,0,Other,RAB31
VKORC1,0,-0.94592744277231,0.267,0.821,0,Other,VKORC1
TMEM14C,0,-0.887191896577504,0.304,0.857,0,Other,TMEM14C
FBP1,0,-1.81144366509144,0.202,0.755,0,Other,FBP1
SLIRP,0,-0.805923944255986,0.341,0.894,0,Other,SLIRP
CTSH,0,-1.27463261159552,0.311,0.864,0,Other,CTSH
ATP6AP1,0,-1.25456250488591,0.223,0.774,0,Other,ATP6AP1
UQCC2,0,-1.13231100632387,0.21,0.76,0,Other,UQCC2
DUSP23,0,-1.21475366458912,0.198,0.747,0,Other,DUSP23
PRDX3,0,-1.07701163257953,0.236,0.784,0,Other,PRDX3
MGST2,0,-1.58065924930653,0.162,0.71,0,Other,MGST2
NDUFB3,0,-0.835182857565125,0.35,0.897,0,Other,NDUFB3
IFI6,0,-1.29137513477581,0.306,0.853,0,Other,IFI6
RHOB,0,-1.06611653061798,0.287,0.833,0,Other,RHOB
CST3,0,-1.1594443349322,0.418,0.963,0,Other,CST3
MRPS15,0,-0.932048709348612,0.254,0.797,0,Other,MRPS15
CTSL,0,-1.61225074794837,0.2,0.74,0,Other,CTSL
ECHS1,0,-1.03597616614929,0.228,0.768,0,Other,ECHS1
MYDGF,0,-0.909826248587823,0.342,0.882,0,Other,MYDGF
HNMT,0,-1.9193054039193,0.143,0.682,0,Other,HNMT
TKT,0,-1.02571867619432,0.366,0.905,0,Other,TKT
ANAPC11,0,-0.807119671321832,0.372,0.911,0,Other,ANAPC11
QSOX1,0,-1.49567917058503,0.16,0.699,0,Other,QSOX1
ETFB,0,-0.857283001156874,0.275,0.814,0,Other,ETFB
CHMP2A,0,-0.753337475445124,0.364,0.902,0,Other,CHMP2A
PHPT1,0,-0.825790018802128,0.34,0.876,0,Other,PHPT1
PDIA4,0,-1.26098452196963,0.208,0.743,0,Other,PDIA4
LAMTOR1,0,-0.852969263429042,0.359,0.894,0,Other,LAMTOR1
BLVRA,0,-1.4164721648953,0.195,0.73,0,Other,BLVRA
NDUFAB1,0,-0.769835641991033,0.325,0.86,0,Other,NDUFAB1
SPG21,0,-1.03320838156544,0.234,0.767,0,Other,SPG21
COPZ1,0,-0.863085113063395,0.283,0.816,0,Other,COPZ1
PPCS,0,-0.893635133077061,0.23,0.762,0,Other,PPCS
COA3,0,-1.32933675450557,0.185,0.717,0,Other,COA3
LAMP2,0,-1.30175314513298,0.225,0.756,0,Other,LAMP2
SDHC,0,-0.783621570179954,0.304,0.834,0,Other,SDHC
CNIH4,0,-0.953136156412572,0.245,0.775,0,Other,CNIH4
TALDO1,0,-1.01723836727636,0.375,0.905,0,Other,TALDO1
ORMDL2,0,-0.946113876863708,0.238,0.768,0,Other,ORMDL2
TCEAL4,0,-1.2159737006802,0.177,0.707,0,Other,TCEAL4
TMEM179B,0,-0.936707960534848,0.236,0.765,0,Other,TMEM179B
CISD3,0,-1.19513582566764,0.175,0.703,0,Other,CISD3
KDELR1,0,-0.838594698460715,0.262,0.79,0,Other,KDELR1
CTSA,0,-0.916973117906717,0.281,0.809,0,Other,CTSA
PTTG1IP,0,-0.98332255812622,0.214,0.742,0,Other,PTTG1IP
MLF2,0,-1.01258256306067,0.226,0.753,0,Other,MLF2
TMED10,0,-0.78282499946426,0.366,0.893,0,Other,TMED10
CHMP5,0,-0.808642506746105,0.294,0.821,0,Other,CHMP5
MRPL41,0,-0.664612755682666,0.336,0.862,0,Other,MRPL41
CPM,0,-1.52733253559811,0.153,0.679,0,Other,CPM
CYSTM1,0,-0.911591873524629,0.255,0.78,0,Other,CYSTM1
MRPL20,0,-0.689918560456686,0.338,0.863,0,Other,MRPL20
TMEM147,0,-0.777217256878723,0.3,0.825,0,Other,TMEM147
CAMTA1,0,-0.90138251266138,0.249,0.773,0,Other,CAMTA1
RNF181,0,-0.663382859132845,0.347,0.871,0,Other,RNF181
MRPL57,0,-0.651753957833503,0.337,0.861,0,Other,MRPL57
TMED3,0,-1.25455046220356,0.192,0.716,0,Other,TMED3
SCPEP1,0,-1.2094457262756,0.221,0.745,0,Other,SCPEP1
DSTN,0,-0.901501514739491,0.396,0.92,0,Other,DSTN
GNB2,0,-0.726525245694895,0.359,0.882,0,Other,GNB2
CANX,0,-0.727194248480561,0.35,0.872,0,Other,CANX
COA4,0,-1.00724159768432,0.2,0.722,0,Other,COA4
SMCO4,0,-1.43520378252726,0.184,0.706,0,Other,SMCO4
RNPEP,0,-1.31563659207266,0.161,0.682,0,Other,RNPEP
CYC1,0,-0.817117856200225,0.279,0.8,0,Other,CYC1
AKR1A1,0,-0.94345975944832,0.283,0.803,0,Other,AKR1A1
NDUFAF3,0,-0.638238442165773,0.323,0.843,0,Other,NDUFAF3
PPIC,0,-2.2402879164544,0.096,0.616,0,Other,PPIC
HTATIP2,0,-1.04080459466301,0.186,0.706,0,Other,HTATIP2
CBR1,0,-1.14744370021829,0.194,0.714,0,Other,CBR1
CYB5R3,0,-0.951854202089803,0.226,0.746,0,Other,CYB5R3
MGST3,0,-1.08881885637638,0.396,0.915,0,Other,MGST3
SMIM14,0,-1.04328652338796,0.204,0.723,0,Other,SMIM14
PDXK,0,-1.07146759856189,0.215,0.734,0,Other,PDXK
MRPL55,0,-0.874548099598645,0.244,0.762,0,Other,MRPL55
NAA38,0,-0.672380416460466,0.315,0.833,0,Other,NAA38
RNF130,0,-1.1811421062068,0.215,0.732,0,Other,RNF130
DPY30,0,-0.673058790482639,0.277,0.793,0,Other,DPY30
EIF6,0,-0.719362558657034,0.294,0.809,0,Other,EIF6
RTN3,0,-0.890950430677803,0.269,0.784,0,Other,RTN3
TSPAN3,0,-1.43691997944114,0.152,0.667,0,Other,TSPAN3
ALCAM,0,-1.61126153492926,0.139,0.653,0,Other,ALCAM
LRPAP1,0,-0.998518781312052,0.32,0.834,0,Other,LRPAP1
KDELR2,0,-0.700614508777437,0.348,0.862,0,Other,KDELR2
MRPS16,0,-0.945038072289722,0.209,0.723,0,Other,MRPS16
SUMO3,0,-0.748882310635095,0.273,0.787,0,Other,SUMO3
SERPINB6,0,-0.936793779205052,0.234,0.746,0,Other,SERPINB6
RPN2,0,-0.707209282650431,0.344,0.856,0,Other,RPN2
IFNGR2,0,-1.18378976068006,0.182,0.694,0,Other,IFNGR2
CD46,0,-0.853139867028493,0.27,0.781,0,Other,CD46
ANXA4,0,-1.17121271166253,0.19,0.701,0,Other,ANXA4
ROMO1,0,-0.657843071368989,0.346,0.855,0,Other,ROMO1
COA6,0,-1.19752816423063,0.167,0.675,0,Other,COA6
HDLBP,0,-1.15375162393774,0.203,0.711,0,Other,HDLBP
GTF2H5,0,-0.820135297159959,0.234,0.742,0,Other,GTF2H5
RRBP1,0,-0.736803251683912,0.247,0.755,0,Other,RRBP1
AP2S1,0,-0.845680069567158,0.368,0.875,0,Other,AP2S1
LEPROT,0,-0.973421765790609,0.222,0.728,0,Other,LEPROT
S100A9,0,-1.25366590844697,0.245,0.751,0,Other,S100A9
BCAP31,0,-0.781144498367259,0.374,0.88,0,Other,BCAP31
GCHFR,0,-1.3706663692568,0.205,0.71,0,Other,GCHFR
NAA20,0,-1.04241498000966,0.217,0.722,0,Other,NAA20
PPA2,0,-1.01591283446406,0.196,0.701,0,Other,PPA2
RER1,0,-0.661112148934911,0.316,0.82,0,Other,RER1
HEXB,0,-1.26745493259388,0.258,0.762,0,Other,HEXB
GAA,0,-1.81255846562095,0.129,0.632,0,Other,GAA
NDUFS8,0,-0.660570885808464,0.333,0.836,0,Other,NDUFS8
OS9,0,-0.837830254316697,0.287,0.789,0,Other,OS9
NDUFA8,0,-0.999071117011737,0.196,0.697,0,Other,NDUFA8
SDHB,0,-0.706167569052973,0.265,0.765,0,Other,SDHB
PHLDA2,0,-1.46446294382541,0.174,0.674,0,Other,PHLDA2
SNF8,0,-0.651793151380647,0.27,0.77,0,Other,SNF8
MRPL27,0,-0.98405893834669,0.194,0.694,0,Other,MRPL27
TMEM167A,0,-0.589128908555306,0.283,0.782,0,Other,TMEM167A
SCARB2,0,-1.51274280164542,0.134,0.633,0,Other,SCARB2
CHCHD1,0,-0.894149140240131,0.208,0.707,0,Other,CHCHD1
PDCD6,0,-1.04937053175947,0.318,0.817,0,Other,PDCD6
SMIM30,0,-1.17788108948223,0.2,0.699,0,Other,SMIM30
ATP5MC1,0,-0.673256969074592,0.304,0.802,0,Other,ATP5MC1
UQCRC1,0,-0.909494150769461,0.217,0.715,0,Other,UQCRC1
AQP3,0,-1.41701867067856,0.199,0.697,0,Other,AQP3
SDF2L1,0,-0.773624250093464,0.262,0.759,0,Other,SDF2L1
ETS2,0,-1.04195707627551,0.191,0.688,0,Other,ETS2
ALDH3A2,0,-1.86018369244831,0.101,0.597,0,Other,ALDH3A2
PLAUR,0,-0.876928704026688,0.27,0.766,0,Other,PLAUR
NME1,0,-1.11340565619167,0.194,0.69,0,Other,NME1
NAXE,0,-1.13573649134855,0.186,0.68,0,Other,NAXE
MRPL13,0,-1.05410496101167,0.182,0.676,0,Other,MRPL13
SEC11C,0,-0.75953881571721,0.307,0.801,0,Other,SEC11C
ATP6V1E1,0,-0.591158772562879,0.309,0.803,0,Other,ATP6V1E1
NHP2,0,-0.672790101946583,0.279,0.773,0,Other,NHP2
POLR2I,0,-0.760352257945203,0.228,0.722,0,Other,POLR2I
LSM4,0,-0.629333463654143,0.285,0.778,0,Other,LSM4
SCCPDH,0,-1.7032790618773,0.127,0.62,0,Other,SCCPDH
BAG1,0,-0.68191404669727,0.281,0.774,0,Other,BAG1
KLF4,0,-1.27702535108835,0.204,0.697,0,Other,KLF4
MSRB2,0,-1.49863156504204,0.137,0.63,0,Other,MSRB2
RAB34,0,-1.63105146460514,0.128,0.621,0,Other,RAB34
TIMM13,0,-0.731596597917721,0.249,0.742,0,Other,TIMM13
NUCB1,0,-0.739331596628102,0.308,0.8,0,Other,NUCB1
MRPL40,0,-1.03379083578683,0.182,0.674,0,Other,MRPL40
CNDP2,0,-0.837433533010923,0.22,0.712,0,Other,CNDP2
HIGD1A,0,-0.890361167701624,0.199,0.69,0,Other,HIGD1A
YIF1A,0,-1.01499848666854,0.19,0.68,0,Other,YIF1A
TREM1,0,-1.94555292278249,0.139,0.629,0,Other,TREM1
EMC10,0,-0.670681909076505,0.259,0.749,0,Other,EMC10
VMO1,0,-2.68598119681599,0.085,0.575,0,Other,VMO1
PHB,0,-0.606836399236119,0.294,0.783,0,Other,PHB
RAB10,0,-0.707125067145732,0.276,0.765,0,Other,RAB10
SNRPC,0,-0.609938864485138,0.263,0.752,0,Other,SNRPC
SDC4,0,-1.41658910140302,0.154,0.643,0,Other,SDC4
NPC2,0,-0.913270040013765,0.461,0.95,0,Other,NPC2
ZCRB1,0,-0.566151807583447,0.269,0.757,0,Other,ZCRB1
SMS,0,-0.711467640243962,0.236,0.724,0,Other,SMS
NDUFS4,0,-0.588542938722185,0.288,0.775,0,Other,NDUFS4
SPTSSA,0,-1.64867182266466,0.174,0.661,0,Other,SPTSSA
PPT1,0,-0.997369963389435,0.27,0.757,0,Other,PPT1
SPATS2L,0,-0.808946153429083,0.223,0.71,0,Other,SPATS2L
ARF3,0,-0.930946084890245,0.193,0.679,0,Other,ARF3
GNB1,0,-0.625138696904196,0.254,0.74,0,Other,GNB1
MRPS36,0,-0.559099739406361,0.277,0.763,0,Other,MRPS36
MRPS34,0,-0.718565657925757,0.238,0.724,0,Other,MRPS34
NANS,0,-0.526047443646564,0.289,0.774,0,Other,NANS
DYNC1I2,0,-0.592540024879261,0.256,0.74,0,Other,DYNC1I2
REEP3,0,-1.2116974404713,0.157,0.641,0,Other,REEP3
COPRS,0,-1.4886092259623,0.136,0.62,0,Other,COPRS
TCEAL9,0,-1.46354674242369,0.133,0.617,0,Other,TCEAL9
FCGR2A,0,-1.43159317108576,0.172,0.655,0,Other,FCGR2A
HCFC1R1,0,-1.12813773433335,0.168,0.651,0,Other,HCFC1R1
CNPY2,0,-0.718544930300455,0.295,0.777,0,Other,CNPY2
PYCARD,0,-0.902120462282632,0.33,0.812,0,Other,PYCARD
MMP24OS,0,-0.731187013148257,0.242,0.724,0,Other,MMP24OS
IDH1,0,-1.33624860364898,0.135,0.616,0,Other,IDH1
ARPC1A,0,-1.05069630614868,0.182,0.662,0,Other,ARPC1A
CENPX,0,-0.902101317746891,0.196,0.676,0,Other,CENPX
MPST,0,-1.22281032350592,0.161,0.641,0,Other,MPST
PSMD14,0,-0.78836079531037,0.206,0.685,0,Other,PSMD14
SDHD,0,-0.544799113477528,0.29,0.769,0,Other,SDHD
ACADVL,0,-0.616441939908045,0.284,0.763,0,Other,ACADVL
HADHB,0,-0.770255963784525,0.241,0.72,0,Other,HADHB
PDLIM1,0,-1.60776978047791,0.163,0.642,0,Other,PDLIM1
HSD17B11,0,-0.747112278092221,0.337,0.816,0,Other,HSD17B11
LGALS3,0,-1.0766684678588,0.438,0.916,0,Other,LGALS3
GPX3,0,-1.92907721464621,0.105,0.583,0,Other,GPX3
MPC1,0,-0.781913931473874,0.251,0.729,0,Other,MPC1
CHP1,0,-1.04199877063557,0.181,0.658,0,Other,CHP1
TCEAL8,0,-0.938875089856017,0.194,0.67,0,Other,TCEAL8
RPL26L1,0,-1.08130170414136,0.162,0.638,0,Other,RPL26L1
CTSB,0,-0.905992692332846,0.395,0.871,0,Other,CTSB
ADIPOR1,0,-0.847431941713337,0.2,0.674,0,Other,ADIPOR1
