"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,2.098194310471e-97,-1.96469507385498,0.146,0.333,2.56630146113709e-93,Neutral,MZB1
2,1.14880856870718e-88,-1.71267374750678,0.098,0.256,1.40510776038575e-84,Neutral,KITLG
3,2.37500706919668e-88,-1.81565180243533,0.105,0.266,2.90487114633446e-84,Neutral,RERG
4,4.84629333765279e-83,-1.70373637643658,0.098,0.25,5.92750138128313e-79,Neutral,GCNT2
5,3.59892148315004e-81,-1.55665522729706,0.108,0.265,4.40184086604081e-77,Neutral,TTC36
6,3.82381264699737e-81,-1.55220691741778,0.146,0.315,4.67690524854248e-77,Neutral,G6PC3
7,2.77400711527214e-80,2.12810716665267,0.288,0.058,3.39288810268935e-76,Neutral,TFAP2B
8,5.58784022369815e-74,0.813428542444418,0.727,0.601,6.83448737760521e-70,Neutral,YWHAZ
9,8.66509834642466e-72,-1.66817534644201,0.197,0.37,1.0598281787512e-67,Neutral,FKBP11
10,4.38134730630505e-71,-1.21650772533824,0.197,0.376,5.3588258903417e-67,Neutral,NBL1
11,6.22788087048431e-71,-1.23210591769965,0.148,0.313,7.61732109268935e-67,Neutral,SSH2
12,7.67582620025819e-70,-1.8350731604745,0.148,0.303,9.38830302553579e-66,Neutral,AGR3
13,6.29067771759171e-66,1.52976109099655,0.428,0.214,7.69412791638642e-62,Neutral,RARRES3
14,9.07180733032797e-63,1.16882744977944,0.108,0.258,1.10957275457241e-58,Neutral,DCD
15,5.84150589334552e-61,-1.06069379227197,0.142,0.3,7.14474585815091e-57,Neutral,FGFR1
16,4.28753443254874e-60,0.91332329290058,0.716,0.563,5.24408336445037e-56,Neutral,BTG1
17,1.81452630541944e-59,-0.95869621631641,0.269,0.453,2.21934712415852e-55,Neutral,TUBA1A
18,1.81248794155245e-57,0.788700426625444,0.714,0.595,2.2168540013128e-53,Neutral,RPS10
19,6.79353024716981e-56,-1.48547837296842,0.176,0.319,8.3091668453134e-52,Neutral,PAK1IP1
20,1.09874968122078e-54,1.18042238164598,0.433,0.232,1.34388073510113e-50,Neutral,TNFSF10
21,3.08051967781974e-298,2.91911876522044,0.293,0.04,3.76778361794132e-294,Negative,AGTR1
22,2.9872652860407e-256,2.8357418762307,0.267,0.039,3.65372417135638e-252,Negative,ELOVL2
23,9.0201458698573e-176,2.36286306876582,0.315,0.075,1.10325404134225e-171,Negative,IGHG4
24,1.12097793263358e-175,2.41310174661657,0.454,0.145,1.37106810940413e-171,Negative,MZB1
25,9.80859891332339e-158,2.17373726604142,0.282,0.063,1.19968973308858e-153,Negative,KCNE4
26,3.47797545224126e-155,1.19664057242131,0.89,0.674,4.25391177563629e-151,Negative,XBP1
27,4.31331156994436e-145,2.36257986838839,0.293,0.073,5.27561138119894e-141,Negative,CD79A
28,2.26532939137602e-143,2.19707998935468,0.34,0.097,2.77072437859201e-139,Negative,GCNT2
29,2.65559156826402e-140,2.24143598381662,0.351,0.105,3.24805404714373e-136,Negative,RERG
30,4.75623208445507e-137,2.09678307400711,0.293,0.075,5.817347462497e-133,Negative,PHGR1
31,1.71916611507276e-136,1.97609880659289,0.356,0.108,2.10271207534549e-132,Negative,TTC36
32,3.4763769895113e-135,1.9928042937345,0.28,0.07,4.25195669587127e-131,Negative,THRSP
33,1.56020017527988e-134,2.12451744785439,0.49,0.196,1.90828083438482e-130,Negative,FKBP11
34,4.72557216949762e-134,2.0456788674154,0.283,0.072,5.77984732051254e-130,Negative,DERL3
35,1.93277483899665e-133,1.43111590656595,0.281,0.069,2.3639769055768e-129,Negative,SUSD3
36,5.14055646601696e-132,2.0737181109484,0.332,0.098,6.28741461358534e-128,Negative,KITLG
37,1.59598557065408e-126,1.90239521957657,0.288,0.076,1.95204995146701e-122,Negative,HIST1H3H
38,1.625135892919e-125,1.90379101327227,0.405,0.145,1.98770371062922e-121,Negative,G6PC3
39,1.02230709613064e-124,2.24698073068986,0.404,0.147,1.25038380927739e-120,Negative,AGR3
40,1.0959652760817e-112,1.34935585288099,0.317,0.106,1.34047512917553e-108,Negative,IGHG2
41,1.00184112338048e-101,2.80425227926206,0.307,0.065,1.22535187800666e-97,Positive,SPARCL1
42,2.01979954616738e-93,2.12550592654909,0.452,0.138,2.47041682491732e-89,Positive,IGFBP7
43,1.29607499504074e-92,2.89934386535225,0.311,0.071,1.58522932643433e-88,Positive,CTGF
