n_pc,resolution,ela_net_alpha,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
30,2.3,0.9,0.445742529768591,0.0120841626386125,0.987915837361388,0.554257470231409,0.979027880582285,0.445742529768591,0.612582014666152,0.685052710843373
100,3.1,0.4,0.478207144461919,0.00774808075063975,0.99225191924936,0.521792855538081,0.987359387684101,0.478207144461919,0.644341014871154,0.705101656626506
80,2.6,0.8,0.29622556728825,0.0960335513221496,0.903966448677851,0.70377443271175,0.796075471698113,0.29622556728825,0.431781898563183,0.564476656626506
100,0.7,0.2,0.637609525949225,0.0104492465169178,0.989550753483082,0.362390474050775,0.987216279676494,0.637609525949225,0.774801214892673,0.792953062248996
80,1.5,0.4,0.287575825657156,0.0956070514643162,0.904392948535684,0.712424174342844,0.791956689868523,0.287575825657156,0.421937451069265,0.559833082329317
20,3.7,0.5,0.533138620534711,0.0100227466590844,0.989977253340916,0.466861379465289,0.985362815322329,0.533138620534711,0.691912381091227,0.734782881526104
60,2.3,0.5,0.247977982475848,0.0910577196474268,0.908942280352573,0.752022017524152,0.775105337078652,0.247977982475848,0.375744680851064,0.539721385542169
60,1.2,0.8,0.22141091889463,0.093687802104066,0.906312197895934,0.77858908110537,0.749429657794677,0.22141091889463,0.341831425598335,0.523719879518072
70,2.6,0.3,0.384407998202651,0.131290872903042,0.868709127096958,0.615592001797349,0.787481302496836,0.384407998202651,0.516625778448764,0.598173945783133
100,2.4,0.7,0.301898449786565,0.00604208131930623,0.993957918680694,0.698101550213435,0.984432234432234,0.301898449786565,0.46208734525447,0.607366967871486
10,3.5,0.8,0.281060435857111,0.150199033266989,0.849800966733011,0.718939564142889,0.70310524097232,0.281060435857111,0.401589021307331,0.532097138554217
80,0.5,0.5,0.233711525499888,0.0955359681546773,0.904464031845323,0.766288474500112,0.755858310626703,0.233711525499888,0.357029473593891,0.529775351405623
70,0.4,0.4,0.40462817344417,0.0952516349161217,0.904748365083878,0.59537182655583,0.843164794007491,0.40462817344417,0.546834674358585,0.625376506024096
60,1.1,0.9,0.22141091889463,0.00469149843616719,0.995308501563833,0.77858908110537,0.983532934131737,0.22141091889463,0.361452411516596,0.563002008032129
10,0.3,0.8,0.218209391148057,0.168893943702019,0.831106056297981,0.781790608851943,0.62050790608529,0.218209391148057,0.322875545397881,0.488736194779117
40,1,0.8,0.239889912379241,0.19263576912141,0.80736423087859,0.760110087620759,0.61180346655207,0.239889912379241,0.344643937865645,0.490367720883534
80,1.5,0.4,0.287575825657156,0.0956070514643162,0.904392948535684,0.712424174342844,0.791956689868523,0.287575825657156,0.421937451069265,0.559833082329317
100,0.7,0.5,0.460963828353179,0.0087432470855843,0.991256752914416,0.539036171646821,0.985234093637455,0.460963828353179,0.628070712481824,0.695030120481928
30,2.6,0.5,0.55420130307796,0.0155672448109184,0.984432755189082,0.44579869692204,0.978286734086853,0.55420130307796,0.707565435640014,0.74410140562249
90,0.4,0.9,0.220231408672209,0.0022746659084447,0.997725334091555,0.779768591327792,0.991904882367822,0.220231408672209,0.36043572183665,0.563409889558233
40,2.8,0.4,0.22393844079982,0.193773102075633,0.806226897924367,0.77606155920018,0.593922240429018,0.22393844079982,0.3252437084472,0.480955070281125
100,0.4,1,0.230959334980903,0.00504691498436167,0.994953085015638,0.769040665019097,0.983026535978962,0.230959334980903,0.374039204984764,0.568178965863454
70,3.2,0.7,0.384239496742305,0.00554449815183395,0.994455501848166,0.615760503257695,0.988726694609048,0.384239496742305,0.553411802774744,0.653583082329317
20,1.8,1,0.544596719838239,0.0115154961615013,0.988484503838499,0.455403280161761,0.983566646378576,0.544596719838239,0.701033909334105,0.740524598393574
40,0.1,0.2,0.221747921815322,0.0939010520329827,0.906098947967017,0.778252078184678,0.749288289998102,0.221747921815322,0.342218177090105,0.523814006024096
90,2.8,0.2,0.362895978431813,0.00781916406027865,0.992180835939721,0.637104021568187,0.983259777811596,0.362895978431813,0.530133333333333,0.640656375502008
90,0.9,0.1,0.641709728150977,0.00852999715666761,0.991470002843332,0.358290271849023,0.989605889995669,0.641709728150977,0.778561450134587,0.796090612449799
40,2.2,0.2,0.240957088294765,0.194412851862383,0.805587148137617,0.759042911705235,0.61067615658363,0.240957088294765,0.345563655402956,0.490179467871486
